"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"387",67.5,"Male","1","ma","retired",35000,"","0",0,"Small Town","Ireland","Divorced","1",1,2,2,4,2,2,2.4,3,3,5,3,3,1,2,3,2,2,3,4,3,2,1,2.67,3,3,3,4,2,2,2,4,3,2,4,2,3,3,3,2,2,3,2,4,2.8,4,4,4,4,4,4,"no",2.4
"388",23,"Female","0","deg","student",10000,"","2",0,"Large-City","Ireland","Single","0",0,5,5,5,4,4,4.6,1,2,2,1,4,4,3,4,2,4,5,2,5,1,3,2.87,5,3,4,5,3,5,4,4,4,2,4,4,1,4,5,4,4,5,5,5,4,1,1,2,1,1,1.2,"no",4.6
"389",37.5,"Male","0","phd","full-time",55000,"","0",6,"Village","Ireland","Single","0",0,3,4,3,3,3,3.2,2,3,2,3,4,4,4,4,4,4,2,4,3,4,4,3.4,4,3,3,4,3,3,4,3,4,3,4,5,2,4,4,3,3,4,3,5,3.55,2,3,2,3,2,2.4,"yes",3.2
"390",23,"Female","0","ma","student",15000,"","1",0,"Village","Ireland","Single","0",0,4,5,3,5,5,4.4,5,5,5,5,4,3,5,5,3,5,4,5,5,5,5,4.6,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4.7,5,5,3,5,1,3.8,"yes",4.4
"391",37.5,"Female","1","lthigh","full-time",NA,"","6",0,"Rural/Country","Ireland","Widowed","1",2,5,5,3,2,3,3.6,3,3,4,5,5,5,5,4,3,5,2,4,5,5,5,4.2,5,3,3,2,5,3,5,3,5,3,3,5,4,3,4,5,5,4,5,4,3.95,3,4,3,4,3,3.4,"yes",3.6
"392",55,"Female","1","deg","part-time",25000,"","5",6,"Small Town","Ireland","Married","2",0,3,2,2,1,1,1.8,1,1,3,1,2,4,1,3,1,2,2,1,2,1,3,1.87,5,1,1,2,2,3,5,3,5,1,3,4,3,2,3,2,1,4,5,4,2.95,4,4,4,5,4,4.2,"no",1.8
"393",45,"Male","0","ltuni","part-time",55000,"","5",0,"8","Ireland","Married","0",0,5,2,2,1,1,2.2,1,1,5,1,1,1,1,4,5,3,1,1,5,1,1,2.13,5,1,5,5,2,4,5,4,5,1,1,5,3,4,4,2,2,5,1,5,3.45,1,1,1,3,3,1.8,"no",2.2
"394",45,"Male","0","ma","full-time",150000,"","7",0,"Village","Ireland","Married","0",0,2,1,2,1,1,1.4,1,1,1,1,3,2,1,2,1,2,3,1,2,1,1,1.53,2,1,2,2,2,1,1,2,3,1,1,3,1,2,3,4,2,3,3,3,2.1,3,4,3,4,4,3.6,"no",1.4
"395",45,"Female","1","deg","full-time",67500,"","6",0,"Village","Ireland","Separated","2",3,3,3,3,2,2,2.6,1,1,1,4,3,5,3,2,3,2,3,3,2,2,2,2.47,3,1,2,3,5,2,2,2,3,2,3,3,2,4,2,3,2,4,3,3,2.7,2,2,1,1,2,1.6,"no",2.6
"396",25,"Male","0","ma","full-time",35000,"","1",2,"Village","Ireland","Single","0",0,4,4,4,3,3,3.6,2,4,4,5,4,3,5,4,2,4,4,4,4,4,4,3.8,4,3,3,5,2,4,4,4,4,4,4,4,3,3,4,5,4,5,5,5,3.95,2,3,2,1,3,2.2,"yes",3.6
"397",32.5,"Female","0","ltuni","full-time",35000,"","1",0,"","Ireland","Married","0",0,5,5,5,5,5,5,1,1,1,5,4,5,5,4,3,5,1,1,1,5,3,3,5,1,2,3,2,3,5,5,5,4,5,5,1,1,4,2,1,4,4,3,3.25,3,3,3,3,3,3,"yes",5
